,timestamp,ID,age,gender,condition,trial,choice,reward,cum_reward
0,2024-06-26_17h27.05.734,David,20,male,gain,0,right,3,3
1,2024-06-26_17h27.05.734,David,20,male,gain,1,right,1,4
2,2024-06-26_17h27.05.734,David,20,male,gain,2,left,0,4
3,2024-06-26_17h27.05.734,David,20,male,gain,3,right,3,7
4,2024-06-26_17h27.05.734,David,20,male,gain,4,right,3,10
5,2024-06-26_17h27.05.734,David,20,male,gain,5,right,3,13
6,2024-06-26_17h27.05.734,David,20,male,gain,6,right,3,16
7,2024-06-26_17h27.05.734,David,20,male,gain,7,right,3,19
8,2024-06-26_17h27.05.734,David,20,male,gain,8,right,3,22
9,2024-06-26_17h27.05.734,David,20,male,gain,9,right,3,25
10,2024-06-26_17h27.05.734,David,20,male,gain,10,right,3,28
11,2024-06-26_17h27.05.734,David,20,male,gain,11,right,3,31
12,2024-06-26_17h27.05.734,David,20,male,gain,12,right,3,34
13,2024-06-26_17h27.05.734,David,20,male,gain,13,right,3,37
14,2024-06-26_17h27.05.734,David,20,male,gain,14,right,1,38
15,2024-06-26_17h27.05.734,David,20,male,gain,15,right,3,41
16,2024-06-26_17h27.05.734,David,20,male,gain,16,right,3,44
17,2024-06-26_17h27.05.734,David,20,male,gain,17,right,3,47
18,2024-06-26_17h27.05.734,David,20,male,gain,18,right,1,48
19,2024-06-26_17h27.05.734,David,20,male,gain,19,right,1,49
20,2024-06-26_17h27.05.734,David,20,male,gain,20,right,3,52
21,2024-06-26_17h27.05.734,David,20,male,gain,21,right,1,53
22,2024-06-26_17h27.05.734,David,20,male,gain,22,left,0,53
23,2024-06-26_17h27.05.734,David,20,male,gain,23,right,1,54
24,2024-06-26_17h27.05.734,David,20,male,gain,24,right,3,57
25,2024-06-26_17h27.05.734,David,20,male,gain,25,right,3,60
26,2024-06-26_17h27.05.734,David,20,male,gain,26,right,3,63
27,2024-06-26_17h27.05.734,David,20,male,gain,27,right,1,64
28,2024-06-26_17h27.05.734,David,20,male,gain,28,right,3,67
29,2024-06-26_17h27.05.734,David,20,male,gain,29,right,3,70
30,2024-06-26_17h27.05.734,David,20,male,gain,30,right,3,73
31,2024-06-26_17h27.05.734,David,20,male,gain,31,right,3,76
32,2024-06-26_17h27.05.734,David,20,male,gain,32,right,3,79
33,2024-06-26_17h27.05.734,David,20,male,gain,33,right,1,80
34,2024-06-26_17h27.05.734,David,20,male,gain,34,right,3,83
35,2024-06-26_17h27.05.734,David,20,male,gain,35,right,1,84
36,2024-06-26_17h27.05.734,David,20,male,gain,36,right,3,87
37,2024-06-26_17h27.05.734,David,20,male,gain,37,right,3,90
38,2024-06-26_17h27.05.734,David,20,male,gain,38,right,1,91
39,2024-06-26_17h27.05.734,David,20,male,gain,39,right,3,94
40,2024-06-26_17h27.05.734,David,20,male,gain,40,right,1,95
41,2024-06-26_17h27.05.734,David,20,male,gain,41,right,3,98
42,2024-06-26_17h27.05.734,David,20,male,gain,42,right,3,101
43,2024-06-26_17h27.05.734,David,20,male,gain,43,right,3,104
44,2024-06-26_17h27.05.734,David,20,male,gain,44,right,1,105
45,2024-06-26_17h27.05.734,David,20,male,gain,45,right,3,108
46,2024-06-26_17h27.05.734,David,20,male,gain,46,right,1,109
47,2024-06-26_17h27.05.734,David,20,male,gain,47,right,3,112
48,2024-06-26_17h27.05.734,David,20,male,gain,48,right,1,113
49,2024-06-26_17h27.05.734,David,20,male,gain,49,right,3,116
50,2024-06-26_17h27.05.734,David,20,male,gain,50,right,3,119
